"city","routeuid","routeid","subrouteid","direction","sequence","fromstopid","tostopid","distance","updatetime","etl_dtm"
Kaohsiung,KHH100,"100","100",1,16,"100100122882","100100912",494.17,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,17,"100100912","10010096052",281.55,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,18,"10010096052","1001008792",340.39,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,19,"1001008792","1001007922",395.52,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,20,"1001007922","1001009092",104.82,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,21,"1001009092","1001007952",252.04,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,22,"1001007952","10010096202",324.23,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,23,"10010096202","10010096212",302.49,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,24,"10010096212","10010096252",184.86,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,25,"10010096252","10010096682",178.38,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,26,"10010096682","10010096692",276.81,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,27,"10010096692","1001001172",353.39,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,28,"1001001172","10010096712",195.54,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,29,"10010096712","1001001262",177.06,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,30,"1001001262","1001001322",259.15,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,31,"1001001322","1001005552",281.52,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,32,"1001005552","1001005692",301.18,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,33,"1001005692","1001008962",350.77,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,34,"1001008962","1001008972",265.81,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,35,"1001008972","1001008992",258.85,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,36,"1001008992","100100128232",259.0,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,37,"100100128232","1001009032",213.42,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,38,"1001009032","1001009052",333.69,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,39,"1001009052","1001009062",262.47,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,40,"1001009062","1001003842",267.19,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,41,"1001003842","1001002882",339.08,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,1,,"100011321",,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,2,"100011321","100011351",456.69,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,3,"100011351","100011381",151.99,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,4,"100011381","100011113001",411.85,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,5,"100011113001","100011861",216.67,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,6,"100011861","100011138531",315.24,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,7,"100011138531","10001184881",500.24,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,8,"10001184881","10001185111",901.45,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,9,"10001185111","10001185201",247.58,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,10,"10001185201","10001185531",354.73,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,11,"10001185531","10001185671",219.77,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,12,"10001185671","1000111001",147.64,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,13,"1000111001","1000111191",207.21,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,14,"1000111191","1000111391",307.23,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,15,"1000111391","1000111541",294.87,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,16,"1000111541","100011501",297.67,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,17,"100011501","100011551",249.71,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,18,"100011551","100011581",185.92,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,19,"100011581","100011621",284.4,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,20,"100011621","100011631",211.62,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,21,"100011631","100011651",209.75,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,22,"100011651","100011711",447.75,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,23,"100011711","100011721",226.43,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,24,"100011721","100011731",307.26,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,25,"100011731","100011741",203.28,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH11,"11","11",0,26,"100011741","100011751",382.33,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.316
Kaohsiung,KHH11,"11","11",0,27,"100011751","100011761",247.18,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,28,"100011761","100011771",277.73,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,29,"100011771","100011781",381.02,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,30,"100011781","1000119281",535.38,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,31,"1000119281","1000119331",376.31,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,32,"1000119331","1000119451",184.44,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,33,"1000119451","10001129621",256.97,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,34,"10001129621","10001126581",297.52,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,35,"10001126581","10001185781",183.47,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,36,"10001185781","10001185861",717.51,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,37,"10001185861","10001185931",566.74,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,38,"10001185931","10001186171",347.85,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,39,"10001186171","10001186261",372.06,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,40,"10001186261","10001186601",161.61,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,41,"10001186601","10001187801",367.24,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,42,"10001187801","10001187931",351.81,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,43,"10001187931","10001188251",334.09,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,44,"10001188251","10001188621",217.34,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,45,"10001188621","10001188711",356.36,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,46,"10001188711","10001188741",774.11,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",0,47,"10001188741","10001188831",345.25,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,1,,"10001188882",,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,2,"10001188882","10001189052",268.2,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,3,"10001189052","10001189172",319.91,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,4,"10001189172","10001189552",337.22,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,5,"10001189552","10001189722",335.05,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,6,"10001189722","10001189882",205.35,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,7,"10001189882","10001190112",390.57,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH11,"11","11",1,8,"10001190112","10001190582",324.49,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
